eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
89.78,0.872,377,0.0013343279,0.05328369,2.6559653,-0.0011417633,0.00957678,0.700402170419693,60,30720,1407.9126829139423,491520
82.63,0.841,364,0.0012490975,0.015808105,2.6247334,-0.00092875294,0.010507634,0.7018535733222961,61,31232,1430.4165736609139,499712
63.4,0.8680000000000001,337,0.0018164737,0.08074951,2.5593128,-0.0015800307,0.015447568,0.6571854948997498,62,31744,1454.679827756947,507904
64.22,0.872,341,0.0011980492,0.009460449,2.5821276,-0.0008096519,0.012750688,0.7128634750843048,63,32256,1478.6787871038541,516096
81.29,0.8380000000000001,349,0.0019357321,0.07519531,2.5320237,0.00031307872,0.013649235,0.6753829419612885,64,32768,1502.1349058588967,524288
94.99,0.8830000000000001,373,0.001497678,0.06665039,2.5858095,-0.0011893734,0.012865484,0.7068758010864258,65,33280,1524.0749651498627,532480
81.79,0.7970000000000002,367,0.0018881467,0.044799805,2.66999,-0.0010289578,0.010834254,0.7505994439125061,66,33792,1546.3749676928855,540672
72.44,0.8720000000000002,343,0.00095485494,0.018615723,2.6305532,-0.00034509593,0.015783053,0.711578369140625,67,34304,1570.2210740069859,548864
64.86,0.8640000000000001,336,0.0008306138,0.004638672,2.6130948,-0.00017383989,0.012703159,0.7086984217166901,68,34816,1594.538327784976,557056
85.09,0.89,375,0.0009786915,0.017028809,2.559577,-0.00053579174,0.010497412,0.7420369684696198,69,35328,1616.3392592368182,565248
104.02,0.8689999999999999,374,0.0009872034,0.020690918,2.569261,-0.00036672788,0.008025629,0.7620490938425064,70,35840,1638.2049169789534,573440
81.73,0.9520000000000001,368,0.00046905113,0.0041503906,2.526006,-2.6010879e-05,0.0134156365,0.6895433366298676,71,36352,1660.4209624088835,581632
90.97,0.9000000000000001,368,0.0013090622,0.016296387,2.4750247,-0.00024593543,0.012761115,0.7147159278392792,72,36864,1682.6646919189952,589824
92.8,0.902,375,0.0014816215,0.08605957,2.4738677,0.00083869917,0.010128057,0.7285377681255341,73,37376,1704.453021046007,598016
