eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
53.73,1.608,534,0.0008889966,0.034118652,0.5909252,0.00018355699,0.02436259,0.7980703860521317,399,204288,6240.160396167077,3268608
55.33,1.446,539,0.0011667423,0.041015625,0.5867416,0.00037219044,0.04041525,0.7834471464157104,400,204800,6255.359295113012,3276800
51.44,1.4609999999999999,524,0.0017583754,0.06732178,0.57602704,0.0017097979,0.072631404,0.729038268327713,401,205312,6271.0047676381655,3284992
52.61,1.5040000000000004,528,0.00023609927,0.008483887,0.60681844,7.5529155e-05,0.06432516,0.7636595070362091,402,205824,6286.4989627380855,3293184
53.07,1.56,524,0.00084853126,0.025878906,0.64536583,1.6743521e-05,0.06353954,0.75660739839077,403,206336,6302.116772199981,3301376
57.57,1.385,538,0.00031821767,0.007507324,0.7019128,-0.0003924588,0.049455527,0.8079566359519958,404,206848,6317.318512883969,3309568
52.86,1.531,524,0.00026471884,0.008666992,0.6772597,0.00028204918,0.050551508,0.7794688791036606,405,207360,6332.92953493516,3317760
53.28,1.473,532,0.0005210701,0.016174316,0.7125476,-8.28332e-05,0.04802682,0.7632812112569809,406,207872,6348.308944055112,3325952
55.14,1.49,535,0.00020110323,0.0020141602,0.7687567,1.9951498e-05,0.04359702,0.7869426757097244,407,208384,6363.594857467106,3334144
56.4,1.3880000000000001,536,0.000515998,0.015380859,0.8434841,-0.00028028592,0.041280583,0.8085091859102249,408,208896,6378.863153615966,3342336
51.61,1.4240000000000002,520,0.00056809024,0.009643555,0.7394254,-0.00017384521,0.04414875,0.7748928815126419,409,209408,6394.6094493840355,3350528
54.84,1.39,531,0.00033549688,0.009765625,0.77648604,-0.00024562379,0.044013493,0.7692917585372925,410,209920,6410.032000057166,3358720
52.53,1.4269999999999998,527,0.00022072112,0.0014648438,0.778798,-0.00016237979,0.042711347,0.7745048254728317,411,210432,6425.552856879076,3366912
49.71,1.459,527,0.00013086862,0.0032958984,0.7345074,-0.0003170257,0.043244075,0.7578153610229492,412,210944,6441.09782304219,3375104
51.6,1.3780000000000001,520,0.00026766106,0.008178711,0.7269355,-0.000173213,0.04562065,0.7611313164234161,413,211456,6456.837907991139,3383296
58.8,1.496,543,0.0004054414,0.007446289,0.82224494,6.4432854e-05,0.037544258,0.8179097473621368,414,211968,6471.904366640141,3391488
52.78,1.485,527,0.00035102302,0.0056152344,0.7616324,-0.00014611843,0.042513832,0.7929562032222748,415,212480,6487.429415896069,3399680
54.91,1.4689999999999999,526,0.00015760325,0.001953125,0.7930492,5.421831e-05,0.0388845,0.7998907119035721,416,212992,6502.981598315062,3407872
49.49,1.516,531,0.0005399997,0.014099121,0.70643675,8.7861175e-05,0.043242,0.7581678032875061,417,213504,6518.396292675054,3416064
56.05,1.3920000000000001,530,0.0005343307,0.020080566,0.79195696,-8.0651516e-05,0.03967372,0.8061062544584274,418,214016,6533.839970176108,3424256
55.66,1.393,531,0.0005315888,0.013244629,0.7562218,-0.00032910355,0.042625975,0.7868928909301758,419,214528,6549.255317655159,3432448
58.5,1.47,535,0.00041404943,0.011962891,0.7894827,0.00042627263,0.03799269,0.8078098148107529,420,215040,6564.5632558669895,3440640
50.98,1.61,522,9.725252e-05,0.0015869141,0.7406858,-0.00021342533,0.03998849,0.7864463478326797,421,215552,6580.2407468780875,3448832
58.84,1.435,538,0.00010671016,0.0018310547,0.8039942,-0.00026485906,0.0377288,0.7998129427433014,422,216064,6595.468137951102,3457024
52.74,1.49,533,0.00094203476,0.03186035,0.7587745,-0.0008227781,0.043120686,0.7748033106327057,423,216576,6610.837151259184,3465216
50.16,1.568,526,0.00026918392,0.007446289,0.7356418,2.0077685e-05,0.040646687,0.778564989566803,424,217088,6626.384552370058,3473408
55.88,1.4340000000000002,523,0.00041569187,0.010375977,0.78733504,-0.00025963405,0.040711213,0.7971099466085434,425,217600,6642.021479862975,3481600
53.82,1.474,537,0.00025045796,0.003540039,0.79096293,-5.256632e-05,0.037315525,0.7949067503213882,426,218112,6657.24967916403,3489792
54.28,1.5030000000000001,525,0.00023246482,0.0072631836,0.81090134,0.000103457074,0.036416862,0.7873401939868927,427,218624,6672.85339726205,3497984
50.16,1.469,534,0.00043298403,0.0061035156,0.7779192,-2.2769993e-05,0.03870416,0.763716921210289,428,219136,6688.180414780974,3506176
53.81,1.581,533,0.0005043047,0.01586914,0.8133642,-0.00030657632,0.037658576,0.7917726337909698,429,219648,6703.530135464156,3514368
54.96,1.47,535,0.00034819287,0.00982666,0.81573683,-0.0002414899,0.036492325,0.7935965210199356,430,220160,6718.820508908015,3522560
50.83,1.536,540,0.0007553757,0.020568848,0.7943119,7.264844e-05,0.03729559,0.7629551589488983,431,220672,6733.991537153022,3530752
56.05,1.4040000000000001,536,0.00070666533,0.020202637,0.8547826,-5.3431257e-05,0.036334336,0.7754349708557129,432,221184,6749.261168846162,3538944
59.3,1.443,537,0.00055196567,0.012817383,0.85372895,-0.00022008715,0.03278152,0.8250628560781479,433,221696,6764.511839647079,3547136
52.59,1.514,536,0.0005090519,0.0154418945,0.79578626,0.00036073153,0.036590233,0.786968395113945,434,222208,6779.784735047026,3555328
53.06,1.49,536,0.0004289822,0.010864258,0.78295374,-6.318328e-05,0.03994566,0.7700027823448181,435,222720,6795.049010740127,3563520
55.49,1.548,537,0.00024632848,0.0057373047,0.8075589,7.3546835e-05,0.03565025,0.807126984000206,436,223232,6810.290185101097,3571712
53.28,1.4839999999999998,522,0.00049846614,0.018737793,0.7411149,-0.0008468155,0.037991658,0.7697814553976059,437,223744,6825.9818822911475,3579904
54.94,1.525,531,0.00041796465,0.009033203,0.7969719,-0.00016750861,0.037379906,0.7723284065723419,438,224256,6841.397269662004,3588096
